Month,Cluster_ID,Factors
1964-02-29,1,"[-0.36222988  0.94766986 -0.21542211 -1.35530821  0.78400378  0.18296315
  0.          0.         -0.99391196 -1.16044079 -0.49098262  0.06652762
 -1.12413565  1.35088645  0.47132769  0.69428781  0.24970277  0.
 -0.57855791  0.31529986 -0.5691441   0.42027211 -0.24489598 -0.96675501
  0.60685275  0.         -1.41985586  0.          0.         -1.26269494
  0.87453032 -0.20916772  0.          0.          0.          0.
  0.21728139  0.08940063  0.25293195 -0.82061314  0.10749009 -0.13194307
 -0.35523281 -0.21184738  0.5245869   0.50288659  0.        ]"
1964-02-29,1,"[ 0.43173437  0.11275354 -0.49804798 -0.14543798 -0.42075293  0.33404357
  0.          0.          0.16590153  1.52532311  0.30774894  0.34000835
 -1.05324053  0.21835399 -0.07133715 -0.19343266  0.57376354  1.09570851
  0.38671795  0.59090363  0.15857606  0.         -0.21664489 -0.34607994
  0.33182215  0.          0.54760739  0.          0.         -0.17818402
  0.46455613  0.25750315  0.          0.          0.          0.
 -1.09601466 -0.13704575 -0.10244885  0.30593856 -1.43025425 -0.51086806
  0.49188412 -0.36061832  0.26970381 -0.40051078  0.        ]"
1964-03-31,1,"[ 0.          0.29082411 -0.21270816 -0.18559467  0.          0.10257461
  0.          0.         -0.23278386 -0.11374402 -0.16668568 -0.27283325
  0.0835286   0.20516861  0.23931557  0.22965601  0.45141508 -0.18007712
 -0.33639243  0.06786993 -0.18141808  0.          0.09990888 -0.27951249
 -0.09603089  0.         -0.11756285  0.          0.          0.
  0.21804405 -0.08197571  0.          0.          0.          0.
  0.14025437 -0.17950436 -0.21393817 -0.2498809   0.24974287 -0.18618626
  0.          0.          0.21707506 -0.2589015   0.        ]"
1964-03-31,1,"[ 0.          0.43737744  0.         -0.4053838   0.4674384   0.34897543
  0.          0.         -0.09128061 -0.72926938 -0.49863261  0.42203922
 -0.86107087  0.33639866  0.28541249  0.37148092 -0.21619723 -0.63476807
 -0.16733237 -0.48805215  0.10519181  0.27467203 -0.23413459 -0.52216262
  0.62183842  0.         -0.20333033  0.          0.         -0.37611132
  0.53328158  0.          0.          0.          0.          0.
 -0.23086365  0.          0.15761467 -0.36626518 -0.37542604  0.20854556
  0.         -0.09545609  0.10218472  0.11034406  0.        ]"
1964-03-31,1,"[-0.45129254  0.8034582   0.07335742 -0.76242429  0.97851591 -0.23373064
  0.          0.         -0.10529458 -0.25993958 -0.10414222  0.
 -0.4951527   0.3504726   0.46315997  0.79590171  0.25492952  0.23750796
  0.         -0.15621805  0.10790479  0.67805574 -0.6185659  -0.83693675
  0.75903724  0.         -0.51187554  0.          0.         -0.61587829
  0.47280422  0.14724171  0.          0.          0.          0.
  0.23166099  0.19867996  0.21485965  0.24498955  0.12537978  0.12538138
  0.1043098  -0.21277438  0.06652343  0.33713016  0.        ]"
1964-03-31,1,"[-0.86824227  1.30653631 -0.83820182 -0.53974324  0.64278605 -0.05644645
  0.          0.         -1.07748623 -2.63667516 -1.92616251 -0.15415225
 -1.75829003  1.45029485  0.90476414  0.97783339 -0.63209407 -2.14211266
 -1.56057373 -2.23582957 -0.64687261  0.74335106 -0.58859401 -1.52853424
  0.99579811  0.         -1.87172441  0.          0.         -1.32261766
  1.02159251 -0.91193385  0.          0.          0.          0.
  1.1070112   0.22456888  0.30713888 -1.22911516  0.93910449 -0.6656788
 -0.05190372 -0.54857929  0.49311591  0.37885476  0.        ]"
1964-04-30,3,"[ 0.07863195  0.11183185 -0.07407195 -0.07381304  0.         -0.07825438
  0.          0.         -0.19155297  0.44398579  0.         -0.24307549
  0.22817254  0.26332703  0.10792651  0.          0.81445396  0.21084238
 -0.07239586  0.15926125 -0.43723855  0.05980934 -0.07466408 -0.20712788
 -0.16087725  0.         -0.30930749  0.          0.         -0.05319679
  0.14285757 -0.29022048  0.          0.          0.          0.
 -0.19559099 -0.14979834 -0.13396347 -0.09280001 -0.24730105 -0.50749166
 -0.11390588 -0.05951418 -0.07910618 -0.30573562  0.        ]"
1964-04-30,3,"[ 0.51541131 -0.46398956 -0.08435788  0.60024044 -0.55607286  0.10659825
  0.          0.          0.20125653  0.71599236  0.5941646  -0.25285685
  0.52922154  0.         -0.10375148 -0.54244052  0.61094346  0.5842783
  0.06195237  0.59694575 -0.1910487  -0.46983378  0.58417762  0.56212756
 -0.69073034  0.          0.08761165  0.          0.          0.61739789
 -0.20926293  0.0507012   0.          0.          0.          0.
 -0.53689575 -0.53708948 -0.45970826  0.37263064 -0.57680046 -0.38401845
 -0.1209158   0.          0.08414286 -0.61774507  0.        ]"
1964-04-30,1,"[-0.3855052   0.34679359  0.         -0.37119914  0.3957462  -0.07047077
  0.          0.          0.         -0.92367183  0.15088847 -0.08597919
 -0.06529209  0.34762769  0.22437187  0.34036876 -1.03996185  0.34805585
  0.15187164  0.3617997   0.2535667   0.31861135 -0.25038526 -0.30516641
  0.25539955  0.         -0.47826547  0.          0.         -0.1216795
  0.         -0.34482341  0.          0.          0.          0.
  0.25784853  0.1306442   0.         -0.18376774  0.26861792 -0.38337078
  0.13120727 -0.13713699  0.44558368  0.1459364   0.        ]"
1964-04-30,0,"[-0.4641287   1.05152082  0.05988261 -1.11013906  0.91577697 -0.07024623
  0.          0.         -0.36273161 -0.35589534 -0.22351824  0.27542452
 -0.69625334  0.23978299  0.37003818  1.03633191  0.41197637  0.14252672
  0.1994122   0.12457277 -0.13646811  0.64274032 -0.48507887 -1.2312304
  0.95927327  0.         -0.48458744  0.          0.         -1.27433083
  0.58229037 -0.27795535  0.          0.          0.          0.
  0.26601934  0.72181759  0.52793985 -0.76301467  0.09172247 -0.13863831
  0.65288741 -0.41004802  0.27916597  0.79017093  0.        ]"
